rosbagTimestamp,linear,x,y,z,angular,x,y,z
79573000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79573000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79582000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79592000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79604000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79612000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79622000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79633000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79644000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79653000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79662000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79672000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79685000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79692000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79702000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79712000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79722000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79732000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79742000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79753000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79762000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79773000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79782000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79792000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79802000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79812000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79822000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79832000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79842000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79852000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79862000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79872000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79882000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79892000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79902000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79912000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79922000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79932000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79942000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79952000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79962000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79972000000,,0.0,0.0,0.0,,0.0,0.0,0.0
