rosbagTimestamp,linear,x,y,z,angular,x,y,z
79573000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79573000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79582000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79592000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79603000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79612000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79622000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79633000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79643000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79652000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79662000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79673000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79684000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79692000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79702000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79712000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79722000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79732000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79742000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79752000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79763000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79772000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79783000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79792000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79802000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79813000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79822000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79832000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79842000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79852000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79862000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79872000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79882000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79893000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79902000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79913000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79922000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
79932000000,,0.0,0.0,0.0,,0.0,0.0,1.01999999071
