time,.x,.y,.z
1970/01/01/07:21:44.885000,0.0,0.0,0.0
1970/01/01/07:21:44.935000,0.0,0.0,0.0
1970/01/01/07:21:44.985000,0.0,0.0,0.0
1970/01/01/07:21:45.035000,0.0,0.0,0.0
1970/01/01/07:21:45.085000,0.0,0.0,0.0
1970/01/01/07:21:45.135000,0.0,0.0,0.0
1970/01/01/07:21:45.185000,0.0,0.0,0.0
1970/01/01/07:21:45.235000,0.0,0.0,0.0
1970/01/01/07:21:45.285000,0.0,0.0,0.0
1970/01/01/07:21:45.335000,0.0,0.0,0.0
1970/01/01/07:21:45.385000,0.0,0.0,0.0
1970/01/01/07:21:45.435000,0.0,0.0,0.0
1970/01/01/07:21:45.485000,0.0,0.0,0.0
1970/01/01/07:21:45.535000,0.0,0.0,0.0
1970/01/01/07:21:45.585000,0.0,0.0,0.0
1970/01/01/07:21:45.635000,0.0,0.0,0.0
1970/01/01/07:21:45.685000,0.0,0.0,0.0
1970/01/01/07:21:45.735000,0.0,0.0,0.0
1970/01/01/07:21:45.785000,0.0,0.0,0.0
1970/01/01/07:21:45.835000,0.0,0.0,0.0
1970/01/01/07:21:45.885000,0.0,0.0,0.0
1970/01/01/07:21:45.936000,0.0,0.0,0.0
1970/01/01/07:21:45.985000,0.0,0.0,0.0
1970/01/01/07:21:46.035000,0.0,0.0,0.0
1970/01/01/07:21:46.085000,0.0,0.0,0.0
1970/01/01/07:21:46.135000,0.0,0.0,0.0
1970/01/01/07:21:46.185000,0.0,0.0,0.0
1970/01/01/07:21:46.236000,0.0,0.0,0.0
1970/01/01/07:21:46.285000,0.0,0.0,0.0
1970/01/01/07:21:46.335000,0.0,0.0,0.0
1970/01/01/07:21:46.385000,0.0,0.0,0.0
1970/01/01/07:21:46.436000,0.0,0.0,0.0
1970/01/01/07:21:46.485000,0.0,0.0,0.0
1970/01/01/07:21:46.535000,0.0,0.0,0.0
1970/01/01/07:21:46.585000,0.0,0.0,0.0
1970/01/01/07:21:46.635000,0.0,0.0,0.0
1970/01/01/07:21:46.685000,0.0,0.0,0.0
1970/01/01/07:21:46.735000,0.0,0.0,0.0
1970/01/01/07:21:46.785000,0.0,0.0,0.0
1970/01/01/07:21:46.835000,0.0,0.0,0.0
1970/01/01/07:21:46.885000,0.0,0.0,0.0
1970/01/01/07:21:46.936000,0.0,0.0,0.0
1970/01/01/07:21:46.985000,0.0,0.0,0.0
1970/01/01/07:21:47.035000,0.0,0.0,0.0
1970/01/01/07:21:47.085000,0.0,0.0,0.0
1970/01/01/07:21:47.135000,0.0,0.0,0.0
1970/01/01/07:21:47.185000,0.0,0.0,0.0
1970/01/01/07:21:47.236000,0.0,0.0,0.0
1970/01/01/07:21:47.285000,0.0,0.0,0.0
1970/01/01/07:21:47.335000,0.0,0.0,0.0
1970/01/01/07:21:47.385000,0.0,0.0,0.0
1970/01/01/07:21:47.436000,0.0,0.0,0.0
1970/01/01/07:21:47.485000,0.0,0.0,0.0
1970/01/01/07:21:47.535000,0.0,0.0,0.0
1970/01/01/07:21:47.586000,0.0,0.0,0.0
1970/01/01/07:21:47.635000,0.0,0.0,0.0
1970/01/01/07:21:47.685000,0.0,0.0,0.0
1970/01/01/07:21:47.735000,0.0,0.0,0.0
1970/01/01/07:21:47.785000,0.0,0.0,0.0
1970/01/01/07:21:47.835000,0.0,0.0,0.0
1970/01/01/07:21:47.885000,0.0,0.0,0.0
1970/01/01/07:21:47.935000,0.0,0.0,0.0
1970/01/01/07:21:47.985000,0.0,0.0,0.0
1970/01/01/07:21:48.035000,0.0,0.0,0.0
1970/01/01/07:21:48.085000,0.0,0.0,0.0
1970/01/01/07:21:48.135000,0.0,0.0,0.0
1970/01/01/07:21:48.185000,0.0,0.0,0.0
1970/01/01/07:21:48.236000,0.0,0.0,0.0
1970/01/01/07:21:48.285000,0.0,0.0,0.0
1970/01/01/07:21:48.335000,0.0,0.0,0.0
1970/01/01/07:21:48.386000,0.0,0.0,0.0
1970/01/01/07:21:48.435000,0.0,0.0,0.0
